8727,7809,2011/2012,1,2011-08-05,9789,9790,3,1
8728,7809,2011/2012,1,2011-08-06,8697,8350,2,0
8729,7809,2011/2012,1,2011-08-06,9904,8226,2,1
8730,7809,2011/2012,1,2011-08-07,9905,8178,2,0
8731,7809,2011/2012,1,2011-08-06,10269,10189,3,0
8732,7809,2011/2012,1,2011-08-06,8722,8721,0,3
8733,7809,2011/2012,1,2011-08-06,8406,8358,2,2
8734,7809,2011/2012,1,2011-08-06,8177,8165,0,1
8735,7809,2011/2012,1,2011-08-07,9823,9788,0,1
8736,7809,2011/2012,10,2011-10-22,9789,8722,5,0
8737,7809,2011/2012,10,2011-10-23,8178,10189,0,1
8738,7809,2011/2012,10,2011-10-22,9790,8721,1,1
8739,7809,2011/2012,10,2011-10-23,9904,9823,2,1
8740,7809,2011/2012,10,2011-10-22,8165,10269,2,2
8741,7809,2011/2012,10,2011-10-22,8350,8358,1,0
8742,7809,2011/2012,10,2011-10-22,8226,9788,1,0
8743,7809,2011/2012,10,2011-10-21,8406,8697,1,1
8744,7809,2011/2012,10,2011-10-22,8177,9905,0,0
8745,7809,2011/2012,11,2011-10-29,9823,8165,4,0
8746,7809,2011/2012,11,2011-10-29,10189,8226,3,1
8747,7809,2011/2012,11,2011-10-30,9790,8350,1,1
8748,7809,2011/2012,11,2011-10-29,9905,8697,1,3
8749,7809,2011/2012,11,2011-10-28,8358,8178,0,1
8750,7809,2011/2012,11,2011-10-29,10269,9789,1,1
8751,7809,2011/2012,11,2011-10-30,8722,8406,3,0
8752,7809,2011/2012,11,2011-10-29,8721,8177,2,3
8753,7809,2011/2012,11,2011-10-29,9788,9904,2,1
8754,7809,2011/2012,12,2011-11-05,9789,8721,5,1
8755,7809,2011/2012,12,2011-11-05,8697,8722,3,2
8756,7809,2011/2012,12,2011-11-05,8178,9790,2,2
8757,7809,2011/2012,12,2011-11-06,9904,10189,2,2
8758,7809,2011/2012,12,2011-11-04,9905,10269,3,1
8759,7809,2011/2012,12,2011-11-05,8165,8358,1,2
8760,7809,2011/2012,12,2011-11-05,8226,8350,1,1
8761,7809,2011/2012,12,2011-11-06,8406,9823,1,2
8762,7809,2011/2012,12,2011-11-05,8177,9788,1,2
8763,7809,2011/2012,13,2011-11-19,9823,9789,0,1
8764,7809,2011/2012,13,2011-11-19,10189,8165,4,0
8765,7809,2011/2012,13,2011-11-20,9790,8226,2,0
8766,7809,2011/2012,13,2011-11-19,8358,8177,2,2
8767,7809,2011/2012,13,2011-11-18,8350,8178,0,2
8768,7809,2011/2012,13,2011-11-20,10269,8406,2,1
8769,7809,2011/2012,13,2011-12-13,8722,9905,1,1
8770,7809,2011/2012,13,2011-11-19,8721,9904,4,1
8771,7809,2011/2012,13,2011-11-19,9788,8697,5,0
8772,7809,2011/2012,14,2011-11-26,9789,10189,2,0
8773,7809,2011/2012,14,2011-11-27,8697,10269,2,0
8774,7809,2011/2012,14,2011-11-26,9904,9790,1,1
8775,7809,2011/2012,14,2011-11-27,9905,9823,3,2
8776,7809,2011/2012,14,2011-11-26,8165,8350,1,0
8777,7809,2011/2012,14,2011-11-26,8226,8358,1,1
8778,7809,2011/2012,14,2011-11-25,8722,9788,0,3
8779,7809,2011/2012,14,2011-11-26,8406,8721,2,0
8780,7809,2011/2012,14,2011-11-26,8177,8178,3,3
8781,7809,2011/2012,15,2011-12-02,8178,8226,2,0
